footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,collection_time
0,2,6,2,5,6,42,7,17,1,2025-05-10 09:35:05
16,7,5,2,6,5,85,2,17,1,2025-05-10 09:35:10
7300,0,4,2,6,3,79,4,17,0,2025-05-10 09:35:15
0,5,2,3,6,0,39,4,17,0,2025-05-10 09:35:20
23,4,6,1,5,6,58,6,17,1,2025-05-10 09:35:25
42,0,4,2,6,5,27,6,17,1,2025-05-10 09:35:30
2,4,4,3,5,1,43,5,17,0,2025-05-10 09:35:35
0,0,3,3,6,0,58,4,17,0,2025-05-10 09:35:40
42,7,4,3,6,4,28,7,17,1,2025-05-10 09:35:45
470,2,5,3,6,5,27,6,17,0,2025-05-10 09:35:50
42,0,3,6,5,2,40,3,17,0,2025-05-10 09:35:55
0,5,1,3,6,0,43,6,17,0,2025-05-10 09:36:00
40,7,5,4,6,5,64,3,17,1,2025-05-10 09:36:05
180,7,2,2,6,0,39,6,17,0,2025-05-10 09:36:10
110,7,4,2,6,4,76,4,17,1,2025-05-10 09:36:15
140,5,3,3,6,0,64,5,17,0,2025-05-10 09:36:20
0,4,4,6,3,2,28,4,17,0,2025-05-10 09:36:25
0,2,4,2,6,1,45,3,17,0,2025-05-10 09:36:30
190,1,6,2,6,6,22,3,17,1,2025-05-10 09:36:35
35,1,3,3,6,1,27,6,17,0,2025-05-10 09:36:40
45,0,1,2,7,0,31,4,17,0,2025-05-10 09:36:45
170,1,2,2,7,0,34,6,17,0,2025-05-10 09:36:50
0,4,2,3,7,0,30,4,17,0,2025-05-10 09:36:55
0,2,6,1,6,6,64,3,17,1,2025-05-10 09:37:00
35,0,6,1,6,4,36,6,17,1,2025-05-10 09:37:05
5,7,4,3,5,4,31,2,17,1,2025-05-10 09:37:10
350,1,4,3,4,5,37,3,17,1,2025-05-10 09:37:15
4,0,6,4,2,1,48,3,17,0,2025-05-10 09:37:20
70,0,5,7,7,3,41,3,17,0,2025-05-10 09:37:25
8,2,5,2,6,5,25,4,17,1,2025-05-10 09:37:30
12,5,4,2,6,6,82,3,17,1,2025-05-10 09:37:35
5,1,6,2,5,4,36,7,17,1,2025-05-10 09:37:40
0,7,6,2,5,1,47,3,17,1,2025-05-10 09:37:45
16,6,2,3,6,0,67,4,17,0,2025-05-10 09:37:50
0,0,4,6,2,5,24,4,17,1,2025-05-10 09:37:55
9,0,4,5,3,5,33,6,17,1,2025-05-10 09:38:00
14,7,4,1,5,1,59,4,17,1,2025-05-10 09:38:05
22,7,7,1,6,6,71,4,17,1,2025-05-10 09:38:10
0,7,6,2,5,6,36,3,17,1,2025-05-10 09:38:15
1,3,3,3,5,0,41,3,17,0,2025-05-10 09:38:20
1600,5,6,2,6,6,38,6,17,1,2025-05-10 09:38:25
7300,1,6,3,6,6,32,3,17,1,2025-05-10 09:38:30
19,0,5,6,7,1,32,4,17,0,2025-05-10 09:38:35
9,6,5,4,6,0,75,6,17,0,2025-05-10 09:38:40
0,7,5,2,4,4,52,3,17,1,2025-05-10 09:38:45
1600,5,2,3,6,0,29,7,17,0,2025-05-10 09:38:50
12,7,3,4,6,0,71,3,17,0,2025-05-10 09:38:55
1,0,6,2,5,2,33,6,17,0,2025-05-10 09:39:00
0,3,1,2,7,2,67,7,17,0,2025-05-10 09:39:05
0,2,6,1,6,6,49,4,17,1,2025-05-10 09:39:10
0,0,2,3,5,1,31,7,17,0,2025-05-10 09:39:15
9,7,3,4,6,1,53,2,17,0,2025-05-10 09:39:20
0,3,2,3,7,0,35,7,17,0,2025-05-10 09:39:25
170,7,6,2,6,6,49,7,18,1,2025-05-10 09:39:30
3,7,6,4,4,0,74,3,18,0,2025-05-10 09:39:35
14,0,6,1,5,6,29,4,18,1,2025-05-10 09:39:40
1,5,2,3,6,0,27,6,18,0,2025-05-10 09:39:45
23,5,4,4,6,5,70,4,18,0,2025-05-10 09:39:50
0,0,6,1,6,6,43,6,18,1,2025-05-10 09:39:55
1,5,2,3,6,2,47,7,18,0,2025-05-10 09:40:00
0,4,4,4,6,0,42,7,18,0,2025-05-10 09:40:05
9,0,6,2,5,6,41,6,18,1,2025-05-10 09:40:10
130,2,6,4,6,6,37,4,18,1,2025-05-10 09:40:15
5,5,5,5,4,1,61,3,18,0,2025-05-10 09:40:20
4,7,4,2,6,0,84,4,18,0,2025-05-10 09:40:25
2800,7,5,3,7,0,46,6,18,0,2025-05-10 09:40:30
4,0,4,3,6,5,39,7,18,0,2025-05-10 09:40:35
6,7,2,3,6,0,53,3,18,0,2025-05-10 09:40:40
4,7,5,1,6,6,87,6,18,1,2025-05-10 09:40:45
84,2,4,6,2,0,51,3,18,0,2025-05-10 09:40:50
0,0,5,2,5,4,37,5,18,1,2025-05-10 09:40:55
9,1,4,3,5,4,37,6,18,1,2025-05-10 09:41:00
290,0,5,2,6,6,40,6,18,1,2025-05-10 09:41:05
0,3,4,4,6,2,46,6,18,0,2025-05-10 09:41:10
9,7,1,4,1,3,44,3,18,1,2025-05-10 09:41:15
0,2,4,3,6,1,37,3,18,0,2025-05-10 09:41:20
0,7,4,2,6,2,55,7,18,0,2025-05-10 09:41:25
22,0,5,2,5,1,40,6,18,1,2025-05-10 09:41:30
0,5,3,2,6,1,42,7,18,0,2025-05-10 09:41:35
640,7,6,2,6,6,40,3,18,1,2025-05-10 09:41:40
10,0,6,2,6,6,32,3,18,1,2025-05-10 09:41:45
4,5,5,2,5,4,58,7,18,1,2025-05-10 09:41:50
0,2,5,1,6,4,37,3,18,1,2025-05-10 09:41:55
640,4,4,5,5,5,51,3,18,1,2025-05-10 09:42:00
110,5,3,5,4,5,44,5,18,0,2025-05-10 09:42:05
0,2,4,5,2,0,23,2,18,0,2025-05-10 09:42:10
0,2,6,2,6,6,38,3,18,1,2025-05-10 09:42:15
67,0,3,4,6,0,42,7,18,0,2025-05-10 09:42:20
520,7,4,2,5,4,60,4,18,1,2025-05-10 09:42:25
0,3,4,3,6,1,34,4,18,0,2025-05-10 09:42:30
51,1,6,2,6,6,49,3,18,1,2025-05-10 09:42:35
0,0,4,2,3,4,40,3,18,1,2025-05-10 09:42:40
2800,7,2,2,7,0,23,4,18,0,2025-05-10 09:42:45
110,2,2,3,6,0,47,3,18,0,2025-05-10 09:42:50
7300,7,4,4,7,0,44,5,18,0,2025-05-10 09:42:55
7300,5,5,2,6,1,37,7,18,1,2025-05-10 09:43:00
0,2,6,1,6,5,26,5,18,1,2025-05-10 09:43:05
16,7,7,6,5,2,51,4,18,0,2025-05-10 09:43:10
140,4,4,4,6,0,69,3,18,0,2025-05-10 09:43:15
54,2,2,2,7,0,36,6,18,0,2025-05-10 09:43:20
2,2,2,3,6,2,28,4,18,0,2025-05-10 09:43:25
470,4,5,2,6,5,40,4,19,1,2025-05-10 09:43:30
0,1,6,1,6,5,45,4,19,1,2025-05-10 09:43:35
75,3,5,2,5,5,75,6,19,1,2025-05-10 09:43:40
11,2,6,2,5,5,32,6,19,1,2025-05-10 09:43:45
0,0,3,2,6,1,27,3,19,0,2025-05-10 09:43:50
2800,6,5,2,5,3,63,6,19,1,2025-05-10 09:43:55
140,1,5,3,6,6,79,7,19,1,2025-05-10 09:44:00
9,7,3,2,6,1,40,6,19,0,2025-05-10 09:44:05
7300,2,4,3,6,1,57,6,19,0,2025-05-10 09:44:10
45,3,3,4,5,1,44,6,19,0,2025-05-10 09:44:15
1600,7,5,2,5,6,78,6,19,1,2025-05-10 09:44:20
9,7,4,5,5,5,58,7,19,0,2025-05-10 09:44:25
0,7,2,2,7,1,55,3,19,0,2025-05-10 09:44:30
130,4,3,4,6,2,25,6,19,0,2025-05-10 09:44:35
9,0,2,3,6,0,27,7,19,0,2025-05-10 09:44:40
3500,3,4,2,7,2,21,3,19,0,2025-05-10 09:44:45
0,3,6,2,6,5,37,4,19,1,2025-05-10 09:44:50
0,0,7,3,4,5,31,3,19,1,2025-05-10 09:44:55
35,7,2,4,6,0,85,7,19,0,2025-05-10 09:45:00
900,1,4,2,6,5,33,3,19,0,2025-05-10 09:45:05
27,7,3,7,4,3,63,2,19,1,2025-05-10 09:45:10
900,7,4,4,6,1,51,3,19,0,2025-05-10 09:45:15
0,2,3,5,2,0,46,3,19,0,2025-05-10 09:45:20
64,2,5,2,6,6,26,5,19,1,2025-05-10 09:45:25
4,7,3,3,6,0,57,6,19,0,2025-05-10 09:45:30
0,3,4,2,6,1,48,3,19,1,2025-05-10 09:45:35
0,2,7,1,5,5,55,3,19,1,2025-05-10 09:45:40
53,0,3,6,4,1,37,5,19,0,2025-05-10 09:45:45
290,2,6,2,6,6,39,3,19,1,2025-05-10 09:45:50
15,2,2,3,4,1,24,3,19,1,2025-05-10 09:45:55
0,0,6,3,6,6,30,6,19,1,2025-05-10 09:46:00
35,0,3,4,6,1,36,7,19,0,2025-05-10 09:46:05
0,0,5,4,6,4,45,3,19,0,2025-05-10 09:46:10
470,1,5,2,6,2,29,3,19,0,2025-05-10 09:46:15
16,7,6,3,6,5,41,4,19,1,2025-05-10 09:46:20
40,1,5,3,5,4,28,5,19,1,2025-05-10 09:46:25
290,7,2,2,7,0,35,4,19,0,2025-05-10 09:46:30
4,7,2,3,6,0,46,4,19,0,2025-05-10 09:46:35
1,7,1,2,7,1,55,4,19,0,2025-05-10 09:46:40
140,3,2,3,6,6,65,4,19,0,2025-05-10 09:46:45
110,1,4,2,6,1,22,4,19,0,2025-05-10 09:46:50
0,1,4,4,6,1,41,4,19,0,2025-05-10 09:46:55
900,1,2,3,6,2,43,7,19,0,2025-05-10 09:47:00
0,2,4,3,6,0,49,4,19,0,2025-05-10 09:47:05
0,4,4,2,5,4,35,7,19,1,2025-05-10 09:47:10
51,7,3,3,5,1,80,3,19,0,2025-05-10 09:47:15
71,2,4,6,2,0,57,4,19,0,2025-05-10 09:47:20
900,4,3,3,6,0,48,3,19,0,2025-05-10 09:47:25
83,4,1,4,6,2,43,6,19,0,2025-05-10 09:47:30
360,3,4,4,7,0,34,4,19,0,2025-05-10 09:47:35
180,7,2,2,4,0,44,5,19,0,2025-05-10 09:47:40
1,3,6,1,6,4,49,6,20,1,2025-05-10 09:47:45
22,7,5,2,7,2,43,7,20,0,2025-05-10 09:47:50
1,0,4,3,5,6,39,4,20,1,2025-05-10 09:47:55
2,2,4,3,7,1,27,3,20,0,2025-05-10 09:48:00
34,4,6,2,6,6,30,6,20,1,2025-05-10 09:48:05
33,2,6,2,6,4,33,6,20,1,2025-05-10 09:48:10
10,1,2,3,7,0,32,5,20,0,2025-05-10 09:48:15
290,7,5,2,6,6,31,6,20,1,2025-05-10 09:48:20
0,2,5,3,7,2,27,5,20,0,2025-05-10 09:48:25
76,3,2,2,6,0,36,4,20,0,2025-05-10 09:48:30
20,7,3,2,6,2,45,5,20,0,2025-05-10 09:48:35
0,5,4,6,5,2,51,3,20,0,2025-05-10 09:48:40
0,0,6,2,3,5,36,4,20,1,2025-05-10 09:48:45
0,7,6,4,6,4,47,7,20,1,2025-05-10 09:48:50
470,4,4,4,6,1,42,6,20,0,2025-05-10 09:48:55
9,6,6,1,5,6,70,6,20,1,2025-05-10 09:49:00
0,0,3,3,6,3,40,4,20,0,2025-05-10 09:49:05
0,7,2,5,7,0,38,3,20,0,2025-05-10 09:49:10
8,0,5,1,6,4,29,3,20,1,2025-05-10 09:49:15
1,0,4,2,5,6,58,3,20,1,2025-05-10 09:49:20
1,7,4,6,1,2,28,3,20,0,2025-05-10 09:49:25
7,1,6,3,6,5,30,4,20,1,2025-05-10 09:49:30
0,3,4,3,6,2,48,5,20,0,2025-05-10 09:49:35
170,0,6,2,6,6,35,4,20,1,2025-05-10 09:49:40
270,3,6,7,6,0,38,3,20,0,2025-05-10 09:49:45
0,0,4,2,5,4,56,7,20,1,2025-05-10 09:49:50
13,4,5,3,6,5,62,4,20,1,2025-05-10 09:49:55
10,7,6,1,6,5,56,4,20,1,2025-05-10 09:50:00
22,0,6,2,5,6,32,3,20,1,2025-05-10 09:50:05
640,5,4,5,7,1,50,5,20,0,2025-05-10 09:50:10
900,3,3,4,6,1,45,6,20,0,2025-05-10 09:50:15
22,7,3,3,4,0,36,6,20,0,2025-05-10 09:50:20
62,1,6,2,6,6,49,4,20,1,2025-05-10 09:50:25
110,2,7,1,6,6,31,6,20,1,2025-05-10 09:50:30
84,4,2,3,6,2,33,7,20,0,2025-05-10 09:50:35
0,1,6,2,6,6,35,4,20,1,2025-05-10 09:50:40
13,2,4,2,5,4,73,4,20,1,2025-05-10 09:50:45
20,7,6,1,5,6,54,5,20,1,2025-05-10 09:50:50
0,3,4,2,7,1,48,3,20,0,2025-05-10 09:50:55
16,3,6,2,6,4,65,4,20,1,2025-05-10 09:51:00
6,7,5,6,5,6,46,4,20,0,2025-05-10 09:51:05
12,0,2,2,6,0,45,7,20,0,2025-05-10 09:51:10
0,7,6,2,5,6,65,7,20,1,2025-05-10 09:51:15
0,0,6,2,6,6,45,6,20,1,2025-05-10 09:51:20
170,7,4,1,5,4,89,7,20,1,2025-05-10 09:51:25
100,0,5,3,6,4,32,4,20,0,2025-05-10 09:51:30
5,4,6,4,4,1,38,4,20,0,2025-05-10 09:51:35
3500,5,2,4,2,5,33,4,20,1,2025-05-10 09:51:40
71,4,6,2,5,6,49,7,20,1,2025-05-10 09:51:45
4,7,5,2,6,5,64,6,20,1,2025-05-10 09:51:50
7300,5,5,4,7,1,55,4,20,0,2025-05-10 09:51:55
7,0,3,3,5,1,56,7,20,0,2025-05-10 09:52:00
290,4,4,5,3,5,30,6,20,0,2025-05-10 09:52:05
0,0,5,4,6,5,41,7,20,1,2025-05-10 09:52:10
0,1,6,2,5,6,39,5,20,1,2025-05-10 09:52:15
520,7,4,4,6,4,34,3,20,0,2025-05-10 09:52:20
430,5,4,5,7,1,53,3,20,0,2025-05-10 09:52:25
9,2,3,3,6,2,40,6,20,0,2025-05-10 09:52:30
40,0,3,3,6,1,48,6,20,0,2025-05-10 09:52:35
2,7,6,5,5,5,59,4,20,0,2025-05-10 09:52:40
75,7,6,2,4,4,54,4,20,1,2025-05-10 09:52:45
170,0,3,5,6,1,41,6,20,0,2025-05-10 09:52:50
170,1,2,3,6,0,41,6,20,0,2025-05-10 09:52:55
640,5,5,3,6,4,63,7,20,0,2025-05-10 09:53:00
2800,1,7,1,6,4,39,3,20,1,2025-05-10 09:53:05
9,3,7,2,5,4,46,3,20,0,2025-05-10 09:53:10
150,7,4,3,6,0,55,3,20,0,2025-05-10 09:53:15
0,7,4,1,5,3,42,3,20,1,2025-05-10 09:53:20
0,7,6,3,6,4,58,2,20,1,2025-05-10 09:53:25
100,0,3,2,6,2,42,4,20,0,2025-05-10 09:53:30
33,7,4,3,4,2,40,6,20,1,2025-05-10 09:53:35
310,7,5,2,5,1,56,6,20,1,2025-05-10 09:53:40
53,1,4,5,2,2,37,4,20,0,2025-05-10 09:53:45
13,2,3,2,6,2,37,6,20,0,2025-05-10 09:53:50
290,6,5,1,5,5,49,6,20,1,2025-05-10 09:53:55
310,7,6,1,6,6,63,4,20,1,2025-05-10 09:54:00
0,7,6,2,5,6,30,7,20,1,2025-05-10 09:54:05
54,7,4,2,6,4,62,5,20,1,2025-05-10 09:54:10
1600,0,4,3,6,1,30,6,20,0,2025-05-10 09:54:15
14,0,6,3,6,6,34,6,20,1,2025-05-10 09:54:20
25,7,6,3,6,5,41,4,20,1,2025-05-10 09:54:25
45,0,4,5,4,6,43,3,20,1,2025-05-10 09:54:30
20,2,5,2,6,4,33,5,20,0,2025-05-10 09:54:35
18,6,4,3,5,5,67,7,20,1,2025-05-10 09:54:40
740,7,5,1,6,0,55,5,20,1,2025-05-10 09:54:45
9,6,2,2,6,0,33,5,20,0,2025-05-10 09:54:50
5,0,6,1,5,5,61,4,20,1,2025-05-10 09:54:55
7300,7,4,1,6,4,45,3,20,0,2025-05-10 09:55:00
81,7,4,3,7,0,34,3,20,0,2025-05-10 09:55:05
190,1,6,2,6,6,35,3,20,1,2025-05-10 09:55:10
51,1,4,4,5,2,50,6,20,0,2025-05-10 09:55:15
7300,7,3,4,2,0,38,4,20,0,2025-05-10 09:55:20
350,0,6,2,6,5,56,3,20,1,2025-05-10 09:55:25
27,2,4,1,6,5,31,3,20,1,2025-05-10 09:55:30
33,5,6,1,4,5,40,7,20,1,2025-05-10 09:55:35
50,4,3,2,6,0,44,3,20,0,2025-05-10 09:55:40
1,7,6,5,2,2,39,4,20,0,2025-05-10 09:55:45
11,1,4,3,6,1,45,3,20,0,2025-05-10 09:55:50
51,5,3,3,6,0,72,6,20,0,2025-05-10 09:55:55
160,7,2,3,5,1,44,7,20,0,2025-05-10 09:56:00
16,7,1,3,6,0,61,7,21,0,2025-05-10 09:56:05
110,6,6,2,6,6,34,7,21,1,2025-05-10 09:56:10
110,4,5,2,5,5,61,6,21,1,2025-05-10 09:56:15
13,6,3,3,7,1,67,4,21,0,2025-05-10 09:56:20
220,7,4,1,4,6,38,6,21,1,2025-05-10 09:56:25
470,7,4,2,6,1,50,6,21,0,2025-05-10 09:56:30
22,6,6,1,6,6,62,4,21,1,2025-05-10 09:56:35
9,2,6,3,6,5,36,6,21,1,2025-05-10 09:56:40
22,3,6,3,5,4,50,6,21,1,2025-05-10 09:56:45
190,2,4,2,7,1,30,6,21,0,2025-05-10 09:56:50
100,5,6,2,6,6,59,5,21,1,2025-05-10 09:56:55
14,7,3,3,6,0,62,6,21,0,2025-05-10 09:57:00
0,7,4,3,6,3,40,4,21,0,2025-05-10 09:57:05
180,1,6,1,6,6,30,4,21,1,2025-05-10 09:57:10
3,6,3,2,6,2,47,3,21,0,2025-05-10 09:57:15
51,2,5,2,6,1,41,6,21,0,2025-05-10 09:57:20
9,2,6,1,6,6,35,7,21,1,2025-05-10 09:57:25
0,7,5,2,6,6,45,4,21,1,2025-05-10 09:57:30
0,2,4,2,6,4,34,6,21,1,2025-05-10 09:57:35
71,2,5,7,2,2,55,3,21,0,2025-05-10 09:57:40
290,1,5,3,6,2,37,4,21,0,2025-05-10 09:57:45
45,3,5,2,4,4,61,7,21,1,2025-05-10 09:57:50
0,3,4,5,4,1,62,2,21,0,2025-05-10 09:57:55
26,1,5,2,6,6,54,6,21,1,2025-05-10 09:58:00
87,3,2,3,6,1,33,6,21,0,2025-05-10 09:58:05
0,0,2,3,6,1,50,6,21,0,2025-05-10 09:58:10
630,0,3,4,7,2,37,3,21,0,2025-05-10 09:58:15
50,5,5,3,6,3,44,3,21,1,2025-05-10 09:58:20
35,7,4,3,4,3,78,3,21,0,2025-05-10 09:58:25
180,7,6,2,4,6,56,3,21,0,2025-05-10 09:58:30
32,0,2,3,4,2,29,6,21,0,2025-05-10 09:58:35
0,7,3,2,5,4,52,6,21,0,2025-05-10 09:58:40
51,1,6,4,5,1,31,3,21,0,2025-05-10 09:58:45
40,0,6,3,6,6,34,7,21,1,2025-05-10 09:58:50
0,2,5,3,6,5,31,7,21,1,2025-05-10 09:58:55
0,7,4,3,5,2,43,6,21,0,2025-05-10 09:59:00
0,1,4,4,3,5,31,3,21,1,2025-05-10 09:59:05
1,6,6,1,6,6,63,7,21,1,2025-05-10 09:59:10
7,2,2,3,7,4,38,4,21,0,2025-05-10 09:59:15
0,2,6,2,6,6,31,5,21,1,2025-05-10 09:59:20
71,2,2,1,7,0,64,3,21,0,2025-05-10 09:59:25
75,2,3,2,5,5,55,7,21,0,2025-05-10 09:59:30
55,1,2,2,6,0,41,3,21,0,2025-05-10 09:59:35
290,4,3,4,5,5,38,4,21,1,2025-05-10 09:59:40
88,4,6,3,6,5,28,6,21,1,2025-05-10 09:59:45
0,7,4,3,5,5,42,5,21,1,2025-05-10 09:59:50
16,7,2,4,3,1,43,4,21,0,2025-05-10 09:59:55
75,1,5,1,6,5,37,4,21,1,2025-05-10 10:00:00
220,1,4,2,6,3,47,5,21,0,2025-05-10 10:00:05
3,5,5,1,6,5,52,7,21,1,2025-05-10 10:00:10
130,0,5,2,6,5,32,4,21,1,2025-05-10 10:00:15
0,5,4,4,3,2,29,3,21,0,2025-05-10 10:00:20
110,2,6,2,5,4,56,3,21,1,2025-05-10 10:00:25
12,7,4,3,5,5,63,7,21,1,2025-05-10 10:00:30
180,3,3,3,6,1,35,5,21,0,2025-05-10 10:00:35
93,7,4,3,5,3,36,4,21,1,2025-05-10 10:00:40
170,7,4,2,7,0,75,5,21,0,2025-05-10 10:00:45
31,5,3,3,6,1,48,6,21,0,2025-05-10 10:00:50
62,4,7,2,6,6,36,5,21,1,2025-05-10 10:00:55
30,4,4,3,6,2,34,6,21,0,2025-05-10 10:01:00
66,7,4,3,7,1,35,5,21,0,2025-05-10 10:01:05
3,3,5,2,5,6,50,4,21,1,2025-05-10 10:01:10
18,3,5,2,5,6,39,7,21,1,2025-05-10 10:01:15
350,5,5,4,6,5,70,7,21,1,2025-05-10 10:01:20
71,7,4,2,5,6,76,3,21,1,2025-05-10 10:01:25
3500,5,5,2,5,5,35,6,21,1,2025-05-10 10:01:30
0,0,3,4,3,3,53,7,21,1,2025-05-10 10:01:35
360,6,5,2,6,4,46,6,21,1,2025-05-10 10:01:40
81,2,5,2,5,4,34,4,21,1,2025-05-10 10:01:45
350,5,4,4,6,5,69,4,21,0,2025-05-10 10:01:50
190,1,5,2,5,1,32,3,21,0,2025-05-10 10:01:55
0,7,5,1,6,6,50,2,21,1,2025-05-10 10:02:00
290,1,5,3,6,6,35,6,21,1,2025-05-10 10:02:05
18,0,6,1,6,6,67,5,21,1,2025-05-10 10:02:10
11,3,5,5,6,5,47,3,21,0,2025-05-10 10:02:15
2,2,6,3,5,4,50,6,21,1,2025-05-10 10:02:20
570,0,6,2,6,4,32,3,21,1,2025-05-10 10:02:25
310,3,5,4,6,2,58,5,21,0,2025-05-10 10:02:30
1,7,3,2,7,0,49,7,21,0,2025-05-10 10:02:35
0,2,6,3,6,1,43,4,21,1,2025-05-10 10:02:40
35,1,5,2,6,5,24,6,21,1,2025-05-10 10:02:45
22,7,5,3,4,2,58,7,21,0,2025-05-10 10:02:50
2,1,2,2,5,0,43,4,21,0,2025-05-10 10:02:55
0,7,4,3,6,5,59,3,21,1,2025-05-10 10:03:00
0,3,6,1,6,6,40,5,21,1,2025-05-10 10:03:05
310,0,5,2,7,0,35,4,21,0,2025-05-10 10:03:10
470,5,2,3,5,1,48,4,21,0,2025-05-10 10:03:15
0,4,6,1,6,6,40,3,21,1,2025-05-10 10:03:20
270,3,3,2,7,0,48,3,21,0,2025-05-10 10:03:25
110,0,2,4,6,0,47,7,21,0,2025-05-10 10:03:30
50,3,6,4,1,1,23,3,21,0,2025-05-10 10:03:35
0,0,6,1,6,6,38,3,21,1,2025-05-10 10:03:40
3,7,6,2,6,6,81,7,21,1,2025-05-10 10:03:45
31,5,3,3,6,1,48,6,21,0,2025-05-10 10:03:50
22,7,5,6,2,4,52,3,21,0,2025-05-10 10:03:55
83,2,4,1,6,3,24,6,21,1,2025-05-10 10:04:00
9,0,4,2,6,1,21,5,21,0,2025-05-10 10:04:05
5,7,5,2,6,5,70,6,21,1,2025-05-10 10:04:10
0,7,7,1,7,6,24,6,21,1,2025-05-10 10:04:15
0,7,4,3,5,1,57,7,21,0,2025-05-10 10:04:20
0,6,3,5,6,4,37,6,21,0,2025-05-10 10:04:25
27,1,3,5,3,5,25,5,21,0,2025-05-10 10:04:30
110,1,6,5,1,1,33,3,21,0,2025-05-10 10:04:35
0,7,4,6,3,0,45,3,22,0,2025-05-10 10:04:40
0,3,5,2,7,5,42,6,22,0,2025-05-10 10:04:45
350,3,3,3,6,2,47,6,22,0,2025-05-10 10:04:50
0,7,6,1,6,6,51,7,22,1,2025-05-10 10:04:55
5,7,5,4,6,5,85,2,22,0,2025-05-10 10:05:00
15,4,3,3,6,2,32,7,22,0,2025-05-10 10:05:05
35,7,3,3,6,2,31,7,22,0,2025-05-10 10:05:10
0,2,4,3,6,2,23,6,22,0,2025-05-10 10:05:15
75,3,3,3,6,0,42,6,22,0,2025-05-10 10:05:20
0,5,6,2,5,5,55,6,22,1,2025-05-10 10:05:25
16,7,6,2,6,6,45,6,22,1,2025-05-10 10:05:30
0,1,6,2,5,6,35,7,22,1,2025-05-10 10:05:35
0,0,2,4,6,0,45,6,22,0,2025-05-10 10:05:40
0,0,3,3,5,2,42,3,22,0,2025-05-10 10:05:45
4,1,6,2,6,5,37,4,22,1,2025-05-10 10:05:50
62,0,4,4,4,5,38,3,22,1,2025-05-10 10:05:55
0,3,2,2,6,1,47,7,22,0,2025-05-10 10:06:00
4,7,4,2,6,2,32,6,22,0,2025-05-10 10:06:05
56,2,5,2,6,5,35,6,22,1,2025-05-10 10:06:10
2,6,4,2,6,5,38,4,22,1,2025-05-10 10:06:15
0,0,4,4,4,3,40,3,22,0,2025-05-10 10:06:20
75,7,6,2,5,6,62,6,22,1,2025-05-10 10:06:25
10,2,2,2,6,1,28,7,22,0,2025-05-10 10:06:30
0,6,6,2,5,6,59,5,22,1,2025-05-10 10:06:35
0,2,1,2,6,0,25,6,22,0,2025-05-10 10:06:40
220,2,4,2,6,6,31,6,22,1,2025-05-10 10:06:45
0,1,7,2,6,6,45,4,22,1,2025-05-10 10:06:50
75,0,5,2,7,5,42,6,22,0,2025-05-10 10:06:55
0,3,2,2,5,1,56,7,22,0,2025-05-10 10:07:00
140,5,3,3,6,1,47,7,22,0,2025-05-10 10:07:05
290,1,6,2,5,5,38,6,22,1,2025-05-10 10:07:10
350,7,4,3,7,2,47,6,22,0,2025-05-10 10:07:15
55,1,5,2,6,6,49,4,22,1,2025-05-10 10:07:20
31,3,3,3,6,2,29,7,22,0,2025-05-10 10:07:25
17,7,2,2,6,0,57,6,22,0,2025-05-10 10:07:30
51,4,6,3,5,6,68,3,22,1,2025-05-10 10:07:35
140,7,2,2,4,0,76,6,22,0,2025-05-10 10:07:40
9,4,6,2,6,5,66,6,22,1,2025-05-10 10:07:45
0,7,5,1,6,4,59,4,22,1,2025-05-10 10:07:50
640,7,5,3,6,4,37,7,22,0,2025-05-10 10:07:55
32,2,5,2,6,6,38,6,22,1,2025-05-10 10:08:00
5,7,6,2,6,5,47,7,22,1,2025-05-10 10:08:05
8,1,5,2,4,5,36,7,22,1,2025-05-10 10:08:10
18,0,5,4,6,0,45,7,22,0,2025-05-10 10:08:15
0,6,5,2,6,5,39,7,22,1,2025-05-10 10:08:20
0,1,3,2,6,1,34,6,22,0,2025-05-10 10:08:25
0,3,6,6,4,0,49,4,22,0,2025-05-10 10:08:30
31,2,6,2,6,5,36,6,22,1,2025-05-10 10:08:35
350,7,6,1,6,6,81,5,22,1,2025-05-10 10:08:40
20,1,5,2,6,4,29,4,22,1,2025-05-10 10:08:45
70,3,5,3,4,0,45,6,22,0,2025-05-10 10:08:50
31,3,5,2,6,5,21,4,22,1,2025-05-10 10:08:55
3,7,2,4,3,6,33,6,22,1,2025-05-10 10:09:00
9,7,4,4,2,2,44,3,23,0,2025-05-10 10:09:05
59,1,2,2,6,4,52,7,23,0,2025-05-10 10:09:10
27,2,3,5,7,1,38,4,23,0,2025-05-10 10:09:15
51,4,2,3,6,2,44,5,23,0,2025-05-10 10:09:20
9,7,6,2,6,6,87,7,23,1,2025-05-10 10:09:25
0,2,7,2,6,5,22,3,23,1,2025-05-10 10:09:30
88,0,3,3,5,2,32,6,23,1,2025-05-10 10:09:35
67,0,4,5,6,4,69,3,23,0,2025-05-10 10:09:40
29,2,6,2,5,6,49,6,23,1,2025-05-10 10:09:45
5,0,6,2,6,6,53,3,23,1,2025-05-10 10:09:50
0,0,6,1,6,5,44,6,23,1,2025-05-10 10:09:55
900,1,6,2,7,5,34,6,23,1,2025-05-10 10:10:00
18,1,6,1,5,5,55,7,23,1,2025-05-10 10:10:05
190,2,3,3,6,0,35,6,23,0,2025-05-10 10:10:10
